name,total_pop,white_alone,black_alone,hispanic_latino,state,county,tract,pct_white,pct_black,pct_hispanic,GEOID
Census Tract 1912; Cook County; Illinois,3775,150,0,3624,17,031,191200,4.0,0.0,96.0,17031191200
Census Tract 1913.01; Cook County; Illinois,5211,186,163,4314,17,031,191301,3.6,3.1,82.8,17031191301
Census Tract 1913.02; Cook County; Illinois,4439,229,25,4185,17,031,191302,5.2,0.6,94.3,17031191302
Census Tract 2001; Cook County; Illinois,3666,467,40,2746,17,031,200100,12.7,1.1,74.9,17031200100
Census Tract 2002; Cook County; Illinois,4435,667,124,3470,17,031,200200,15.0,2.8,78.2,17031200200
Census Tract 2003; Cook County; Illinois,1866,167,139,1525,17,031,200300,8.9,7.4,81.7,17031200300
Census Tract 2004.01; Cook County; Illinois,3408,228,265,2854,17,031,200401,6.7,7.8,83.7,17031200401
Census Tract 2004.02; Cook County; Illinois,5072,958,64,3825,17,031,200402,18.9,1.3,75.4,17031200402
Census Tract 2101; Cook County; Illinois,4194,1989,105,1771,17,031,210100,47.4,2.5,42.2,17031210100
Census Tract 2104; Cook County; Illinois,2491,502,83,1824,17,031,210400,20.2,3.3,73.2,17031210400
Census Tract 2105.01; Cook County; Illinois,2866,906,82,1549,17,031,210501,31.6,2.9,54.0,17031210501
Census Tract 2105.02; Cook County; Illinois,4412,1225,88,2623,17,031,210502,27.8,2.0,59.5,17031210502
Census Tract 2106.01; Cook County; Illinois,2818,1067,54,1141,17,031,210601,37.9,1.9,40.5,17031210601
Census Tract 2106.02; Cook County; Illinois,4362,1328,156,2449,17,031,210602,30.4,3.6,56.1,17031210602
Census Tract 2107; Cook County; Illinois,3724,1629,36,1881,17,031,210700,43.7,1.0,50.5,17031210700
Census Tract 2108; Cook County; Illinois,1142,495,21,537,17,031,210800,43.3,1.8,47.0,17031210800
Census Tract 2109; Cook County; Illinois,3174,1495,100,1229,17,031,210900,47.1,3.2,38.7,17031210900
Census Tract 2203; Cook County; Illinois,1998,1162,85,507,17,031,220300,58.2,4.3,25.4,17031220300
